_ID,Journal_name,ISSN,eISSN,Category,Total_Citations,2020_JIF,JIF_Quartile,2020 _JCI,Percentage_of_OA_Gold
96,PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,0147-8389,1540-8159,"ENGINEERING, BIOMEDICAL - SCIE","6,080",1.98,Q3,0.4,8.10%
97,BIORHEOLOGY,0006-355X,1878-5034,"ENGINEERING, BIOMEDICAL - SCIE","1,622",1.88,Q4,0.39,0.00%
98,IRBM,1959-0318,1876-0988,"ENGINEERING, BIOMEDICAL - SCIE",631,1.86,Q4,0.41,0.00%
99,Journal of Burn Care & Research,1559-047X,1559-0488,CRITICAL CARE MEDICINE - SCIE,"4,287",1.85,Q4,0.57,4.19%
100,JOURNAL OF APPLIED BIOMECHANICS,1065-8483,1543-2688,"ENGINEERING, BIOMEDICAL - SCIE","2,658",1.83,Q4,0.56,0.56%
101,Applied Bionics and Biomechanics,1176-2322,1754-2103,"ENGINEERING, BIOMEDICAL - SCIE",837,1.78,Q4,0.34,100.00%
102,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,1025-5842,1476-8259,"ENGINEERING, BIOMEDICAL - SCIE","3,452",1.76,Q4,0.43,24.91%
103,JOURNAL OF ARTIFICIAL ORGANS,1434-7229,1619-0904,"ENGINEERING, BIOMEDICAL - SCIE","1,095",1.73,Q4,0.49,8.93%
104,Critical Care Nurse,0279-5442,1940-8250,CRITICAL CARE MEDICINE - SCIE,"1,214",1.71,Q4,0.64,0.00%
105,ANAESTHESIA AND INTENSIVE CARE,0310-057X,1448-0271,CRITICAL CARE MEDICINE - SCIE,"2,957",1.67,Q4,0.41,1.04%
106,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,0954-4119,2041-3033,"ENGINEERING, BIOMEDICAL - SCIE","3,181",1.62,Q4,0.38,5.79%
107,INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,0391-3988,1724-6040,"ENGINEERING, BIOMEDICAL - SCIE","2,422",1.60,Q4,0.39,4.76%
108,ULTRASONIC IMAGING,0161-7346,1096-0910,"ENGINEERING, BIOMEDICAL - SCIE","1,055",1.58,Q4,0.52,0.00%
109,Journal of Medical and Biological Engineering,1609-0985,2199-4757,"ENGINEERING, BIOMEDICAL - SCIE","1,254",1.55,Q4,0.39,17.92%
110,CELL AND TISSUE BANKING,1389-9333,1573-6814,"ENGINEERING, BIOMEDICAL - SCIE","1,360",1.52,Q4,0.31,9.69%
111,AUSTRALASIAN PHYSICAL & ENGINEERING SCIENCES IN MEDICINE,0158-9938,1879-5447,"ENGINEERING, BIOMEDICAL - SCIE","1,022",1.43,Q4,0.31,2.91%
112,Biomedical Engineering-Biomedizinische Technik,0013-5585,1862-278X,"ENGINEERING, BIOMEDICAL - SCIE","1,292",1.41,Q4,0.35,0.47%
113,BIO-MEDICAL MATERIALS AND ENGINEERING,0959-2989,1878-3619,"ENGINEERING, BIOMEDICAL - SCIE","1,882",1.30,Q4,0.31,0.00%
114,Bioinspired Biomimetic and Nanobiomaterials,2045-9858,2045-9866,"ENGINEERING, BIOMEDICAL - SCIE",211,1.29,Q4,0.26,1.19%
115,Therapeutic Hypothermia and Temperature Management,2153-7658,2153-7933,CRITICAL CARE MEDICINE - SCIE,292,1.29,Q4,0.29,6.67%
116,TECHNOLOGY AND HEALTH CARE,0928-7329,1878-7401,"ENGINEERING, BIOMEDICAL - SCIE","1,506",1.29,Q4,0.32,0.00%
117,Acta of Bioengineering and Biomechanics,1509-409X,N/A,"ENGINEERING, BIOMEDICAL - SCIE",946,1.07,Q4,0.28,0.00%
118,Journal of Trauma Nursing,1078-7496,1932-3883,CRITICAL CARE MEDICINE - SCIE,594,1.01,Q4,0.4,1.34%
119,ANASTHESIOLOGIE & INTENSIVMEDIZIN,0170-5334,1439-0256,CRITICAL CARE MEDICINE - SCIE,475,1.00,Q4,0.19,0.47%
120,IEEE Pulse,2154-2287,2154-2317,"ENGINEERING, BIOMEDICAL - SCIE",409,0.92,Q4,0.22,0.00%
121,Journal of Mechanics in Medicine and Biology,0219-5194,1793-6810,"ENGINEERING, BIOMEDICAL - SCIE","1,145",0.90,Q4,0.22,12.64%
122,ANASTHESIOLOGIE INTENSIVMEDIZIN NOTFALLMEDIZIN SCHMERZTHERAPIE,0939-2661,1439-1074,CRITICAL CARE MEDICINE - SCIE,439,0.70,Q4,0.18,0.00%
123,Journal of Medical Devices-Transactions of the ASME,1932-6181,1932-619X,"ENGINEERING, BIOMEDICAL - SCIE",707,0.58,Q4,0.19,1.23%
124,ISOKINETICS AND EXERCISE SCIENCE,0959-3020,1878-5913,"ENGINEERING, BIOMEDICAL - SCIE",587,0.52,Q4,0.16,0.00%
125,Journal of Hard Tissue Biology,1341-7649,1341-7649,"ENGINEERING, BIOMEDICAL - SCIE",259,0.34,Q4,0.14,0.00%
126,Biomimetics,N/A,2313-7673,"ENGINEERING, BIOMEDICAL - ESCI",531,n/a,n/a,0.61,100.00%
127,Computer Methods in Biomechanics and Biomedical Engineering-Imaging and Visualization,2168-1163,2168-1171,"ENGINEERING, BIOMEDICAL - ESCI",383,n/a,n/a,0.51,2.48%
128,AIMS Bioengineering,2375-1495,2375-1495,"ENGINEERING, BIOMEDICAL - ESCI",266,n/a,n/a,0.27,100.00%
129,Current Trauma Reports,2198-6096,2198-6096,CRITICAL CARE MEDICINE - ESCI,124,n/a,n/a,0.1,4.12%
130,Acute and Critical Care,2586-6052,2586-6060,CRITICAL CARE MEDICINE - ESCI,162,n/a,n/a,0.19,100.00%
131,Journal of Acute Disease,2221-6189,2589-5516,CRITICAL CARE MEDICINE - ESCI,439,n/a,n/a,0.07,100.00%
132,Brain-Computer Interfaces,2326-263X,2326-2621,"ENGINEERING, BIOMEDICAL - ESCI",277,n/a,n/a,0.6,2.94%
133,Healthcare Technology Letters,N/A,2053-3713,"ENGINEERING, BIOMEDICAL - ESCI",552,n/a,n/a,0.52,100.00%
134,Biomedical Engineering Letters,2093-9868,2093-985X,"ENGINEERING, BIOMEDICAL - ESCI",798,n/a,n/a,0.62,0.00%
135,Advanced Biomedical Engineering,2187-5219,2187-5219,"ENGINEERING, BIOMEDICAL - ESCI",95,n/a,n/a,0.19,40.54%
136,Critical Care Nursing Quarterly,0887-9303,1550-5111,CRITICAL CARE MEDICINE - ESCI,550,n/a,n/a,0.19,0.00%
137,Journal of Critical Care Medicine,2393-1809,2393-1817,CRITICAL CARE MEDICINE - ESCI,168,n/a,n/a,0.18,100.00%
138,Critical Care Research and Practice,2090-1305,2090-1313,CRITICAL CARE MEDICINE - ESCI,647,n/a,n/a,0.31,100.00%
139,Intensive Care Medicine Experimental,2197-425X,2197-425X,CRITICAL CARE MEDICINE - ESCI,644,n/a,n/a,0.6,100.00%
140,Journal of Critical & Intensive Care,2717-6428,2717-6428,CRITICAL CARE MEDICINE - ESCI,3,n/a,n/a,0,0.00%
141,Netherlands Journal of Critical Care,1569-3511,1569-3511,CRITICAL CARE MEDICINE - ESCI,106,n/a,n/a,0.1,0.00%
142,Medical Devices-Evidence and Research,1179-1470,1179-1470,"ENGINEERING, BIOMEDICAL - ESCI",982,n/a,n/a,0.38,100.00%
143,Indian Journal of Critical Care Medicine,0972-5229,1998-359X,CRITICAL CARE MEDICINE - ESCI,"1,716",n/a,n/a,0.2,0.00%
144,Southern African Journal of Critical Care,1562-8264,2078-676X,CRITICAL CARE MEDICINE - ESCI,73,n/a,n/a,0.1,100.00%
145,International Journal of Biomedical Imaging,1687-4188,1687-4196,"ENGINEERING, BIOMEDICAL - ESCI",916,n/a,n/a,0.64,100.00%
146,Physical and Engineering Sciences in Medicine,2662-4729,2662-4737,"ENGINEERING, BIOMEDICAL - SCIE",184,n/a,Q4,n/a,1.79%
147,Biomaterials and Biomechanics in Bioengineering,2465-9835,2465-9959,"ENGINEERING, BIOMEDICAL - ESCI",19,n/a,n/a,0.17,0.00%
148,Biomedical Engineering and Computational Biology,1179-5972,1179-5972,"ENGINEERING, BIOMEDICAL - ESCI",66,n/a,n/a,0.44,100.00%
149,Regenerative Engineering and Translational Medicine,2364-4133,2364-4141,"ENGINEERING, BIOMEDICAL - ESCI",345,n/a,n/a,0.48,6.30%
150,Journal of Medical and Surgical Intensive Care Medicine,1309-1689,1309-6222,CRITICAL CARE MEDICINE - ESCI,47,n/a,n/a,0.01,2.70%
151,BIOMEDICAL ENGINEERING-APPLICATIONS BASIS COMMUNICATIONS,1016-2372,1793-7132,"ENGINEERING, BIOMEDICAL - ESCI",355,n/a,n/a,0.13,0.69%
152,Turkish Journal of Intensive Care-Turk Yogun Bakim Dergisi,2602-2974,2602-2974,CRITICAL CARE MEDICINE - ESCI,13,n/a,n/a,0.03,100.00%
153,International Journal of Biomedical Engineering and Technology,1752-6418,1752-6426,"ENGINEERING, BIOMEDICAL - ESCI",483,n/a,n/a,0.17,0.00%
154,Journal of Biomimetics Biomaterials and Biomedical Engineering,2296-9837,2296-9845,"ENGINEERING, BIOMEDICAL - ESCI",135,n/a,n/a,0.17,2.19%
155,Journal of Rehabilitation and Assistive Technologies Engineering,2055-6683,2055-6683,"ENGINEERING, BIOMEDICAL - ESCI",107,n/a,n/a,0.26,95.37%
156,APL Bioengineering,2473-2877,2473-2877,"ENGINEERING, BIOMEDICAL - ESCI",529,n/a,n/a,0.98,100.00%
157,CELL TRANSPLANTATION,0963-6897,1555-3892,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",191,0.91,6.2,6.4,174
158,American Journal of Translational Research,1943-8141,1943-8141,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",628,0.91,3.4,5.6,570
159,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,1386-5056,1872-8243,MEDICAL INFORMATICS - SCIE,208,0.85,5.5,6,176
160,PREVENTIVE MEDICINE,0091-7435,1096-0260,"MEDICINE, GENERAL & INTERNAL - SCIE",280,0.93,7.5,6.2,259
161,Journal of Diabetes Research,2314-6745,2314-6753,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",294,0.82,4.1,6.8,240
162,CLINICAL AND EXPERIMENTAL MEDICINE,1591-8890,1591-9528,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",84,0.79,4.9,5.2,66
163,Journal of Tissue Engineering and Regenerative Medicine,1932-6254,1932-7005,"ENGINEERING, BIOMEDICAL - SCIE",170,0.92,3.8,7.4,156
164,Journal of Intensive Care,2052-0492,2052-0492,CRITICAL CARE MEDICINE - SCIE,75,0.71,3.7,6,53
165,EUROPEAN CELLS & MATERIALS,1473-2262,1473-2262,"ENGINEERING, BIOMEDICAL - SCIE",33,0.94,8.3,8.6,31
166,ANNALS OF BIOMEDICAL ENGINEERING,0090-6964,1573-9686,"ENGINEERING, BIOMEDICAL - SCIE",331,0.93,8.1,7.9,309
167,Annals of Translational Medicine,2305-5839,2305-5847,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",1348,0.80,2.9,5.7,1075
168,XENOTRANSPLANTATION,0908-665X,1399-3089,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",78,0.81,5.3,8.5,63
169,Journal of the Mechanical Behavior of Biomedical Materials,1751-6161,1878-0180,"ENGINEERING, BIOMEDICAL - SCIE",571,0.98,4.6,8.4,559
170,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,0957-4530,1573-4838,"ENGINEERING, BIOMEDICAL - SCIE",122,0.97,10,7.6,118
171,AIDS AND BEHAVIOR,1090-7165,1573-3254,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",468,0.93,5.4,6.6,434
172,PSYCHO-ONCOLOGY,1057-9249,1099-1611,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",297,0.89,7.2,7.4,264
173,Biomedical Signal Processing and Control,1746-8094,1746-8108,"ENGINEERING, BIOMEDICAL - SCIE",426,0.99,3.5,7.5,420
174,Tissue Engineering Part A,1937-3341,1937-335X,"ENGINEERING, BIOMEDICAL - SCIE",185,1.00,7.7,7.6,185
175,ADVANCES IN THERAPY,0741-238X,1865-8652,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",416,0.71,3.6,6.1,297
176,POSTGRADUATE MEDICINE,0032-5481,1941-9260,"MEDICINE, GENERAL & INTERNAL - SCIE",164,0.63,6,5.3,104
177,IEEE Transactions on Biomedical Circuits and Systems,1932-4545,1940-9990,"ENGINEERING, BIOMEDICAL - SCIE",115,0.97,4.4,5.8,111
178,Regenerative Medicine,1746-0751,1746-076X,"ENGINEERING, BIOMEDICAL - SCIE",73,0.78,7.5,6.6,57
179,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,1534-4320,1558-0210,"ENGINEERING, BIOMEDICAL - SCIE",320,0.99,5.6,7.8,318
180,DM DISEASE-A-MONTH,0011-5029,1557-8194,"MEDICINE, GENERAL & INTERNAL - SCIE",39,0.62,8.5,9.5,24
181,PAIN MEDICINE,1526-2375,1526-4637,"MEDICINE, GENERAL & INTERNAL - SCIE",389,0.84,6.2,8,328
