19	How should electronic health records be designed? A cross-sectional study in patients with psoriasis	31718653	BMC Medical Informatics and Decision Making
20	Epidemiology of Lyme disease in Pennsylvania 2006-2014 using electronic health records	30420251	Ticks and Tick-Borne Diseases
21	Incidence and Determinants of Dental Implant Failure: A Review of Electronic Health Records in a U.S. Dental School	28966189	Journal of Dental Education
22	Development and Validation of an Electronic Health Record-Based Machine Learning Model to Estimate Delirium Risk in Newly Hospitalized Patients Without Known Cognitive Impairment	30646095	JAMA Netw Open
23	Automatic identification of heart failure diagnostic criteria, using text analysis of clinical notes from electronic health records	23317809	International Journal of Medical Informatics
24	Using electronic patient records to assess the impact of swine flu (influenza H1N1) on mental health patients	21271827	J Ment Health
25	Evaluation of Electronic Health Records on the Nursing Process and Patient Outcomes Regarding Fall and Pressure Injuries	31449141	Computers, Informatics, Nursing
26	Data mining information from electronic health records produced high yield and accuracy for current smoking status	31730918	Journal of Clinical Epidemiology
27	Development and validation of machine learning models to identify high-risk surgical patients using automatically curated electronic health record data (Pythia): A retrospective, single-site study	30481172	PLoS Medicine
28	Development of a tripolar model of technology acceptance: Hospital-based physicians' perspective on EHR	28495348	International Journal of Medical Informatics
29	The role of electronic medical records in improving the quality of health care services: Comparative study	31128833	International Journal of Medical Informatics
30	The Impact of an Integrated Electronic Health Record Adoption on Nursing Care Quality	27379908	Journal of Nursing Administration
31	Prognostic nomogram for acute pancreatitis patients: An analysis of publicly electronic healthcare records in intensive care unit	30583120	Journal of Critical Care
32	How are Electronic Health Records Associated with Provider Productivity and Billing in Orthopaedic Surgery?	31389875	Clinical Orthopaedics and Related Research
33	Risk factor detection for heart disease by applying text analytics in electronic medical records	26279500	Journal of Biomedical Informatics
34	Follow-up of Abnormal Estimated GFR Results Within a Large Integrated Health Care Delivery System: A Mixed-Methods Study	31324445	American Journal of Kidney Diseases
35	A Real-Time Early Warning System for Monitoring Inpatient Mortality Risk: Prospective Study Using Electronic Medical Record Data	31278734	Journal of Medical Internet Research
36	How are medical students using the Electronic Health Record (EHR)?: An analysis of EHR use on an inpatient medicine rotation	31419265	PloS One
37	Augmented intelligence with natural language processing applied to electronic health records for identifying patients with non-alcoholic fatty liver disease at risk for disease progression	31445275	International Journal of Medical Informatics
38	Machine learning of physiological waveforms and electronic health record data to predict, diagnose and treat haemodynamic instability in surgical patients: protocol for a retrospective study	31796483	BMJ Open
39	Validity of the Morse Fall Scale implemented in an electronic medical record system	24112535	Journal of Clinical Nursing
40	Association of an Electronic Health Record Add-on App for Neonatal Bilirubin Management With Physician Efficiency and Care Quality	31730181	JAMA Netw Open
41	Determining Multiple Sclerosis Phenotype from Electronic Medical Records	27882837	J Manag Care Spec Pharm
42	Evaluation of the use of electronic health data to classify four-year mortality risk for older adults undergoing screening colonoscopies	22195198	AMIA Annu Symp Proc
43	CE: Original Research: Are Milk and Molasses Enemas Safe for Hospitalized Adults? A Retrospective Electronic Health Record Review	31408025	American Journal of Nursing
44	The Practice Impact of Electronic Health Record System Implementation Within a Large Multispecialty Ophthalmic Practice	25880083	JAMA Ophthalmol
45	Measuring Exposure to Incarceration Using the Electronic Health Record	31095055	Medical Care
46	Improving patient safety by modifying provider ordering behavior using alerts (CDSS) in CPOE system	22195181	AMIA Annu Symp Proc
47	Impact of electronic medical records (EMRs) on hospital productivity in Japan	30153919	International Journal of Medical Informatics
48	Feasibility analysis of conducting observational studies with the electronic health record	31660955	BMC Medical Informatics and Decision Making
49	Evaluation of an Algorithm for Identifying Ocular Conditions in Electronic Health Record Data	30789656	JAMA Ophthalmol
50	Predicting burn patient mortality with electronic medical records	30174140	Surgery
51	Forecasting the Maturation of Electronic Health Record Functions Among US Hospitals: Retrospective Analysis and Predictive Model	30087090	Journal of Medical Internet Research
52	Automated disease cohort selection using word embeddings from Electronic Health Records	29218877	Pacific Symposium on Biocomputing
53	Regional differences in electronic medical record adoption in Japan: A nationwide longitudinal ecological study	29779713	International Journal of Medical Informatics
54	Determinants and extent of weight recording in UK primary care: an analysis of 5 million adults' electronic health records from 2000 to 2017	31783757	BMC Medicine
55	Recording of weight in electronic health records: an observational study in general practice	30447691	BMC Family Practice
56	Using electronic health records to estimate the prevalence of agitation in Alzheimer disease/dementia	30430642	International Journal of Geriatric Psychiatry
57	Infant feeding practices within a large electronic medical record database	29291732	BMC Pregnancy and Childbirth
58	Electronic health record tools to assist with children's insurance coverage: a mixed methods study	29747644	BMC Health Services Research
59	Implementing Electronic Health Record Default Settings to Reduce Opioid Overprescribing: A Pilot Study	29325160	Pain Medicine
60	The Value of Unstructured Electronic Health Record Data in Geriatric Syndrome Case Identification	29972595	Journal of the American Geriatrics Society
61	Link between prescriptions and the electronic health record	29802176	American Journal of Health-System Pharmacy
62	Electronic Health Record-Related Events in Medical Malpractice Claims	26558652	J Patient Saf
63	Satisfaction and perceived usefulness with newly-implemented Electronic Health Records System among pediatricians at a university hospital	30638591	Computer Methods and Programs in Biomedicine
64	Electronic Health Records in Ophthalmology: Source and Method of Documentation	31811860	American Journal of Ophthalmology
65	Factors affecting the utilisation of electronic medical records system in Malawian central hospitals	29872515	Malawi Medical Journal
66	Out-of-Hospital Research in the Era of Electronic Health Records	29494774	Prehospital Emergency Care
67	Drug-induced hypersensitivity: A 5-year retrospective study in a hospital electronic health records database	30069891	Journal of Clinical Pharmacy and Therapeutics
68	Effect on VA Patient Satisfaction of Provider's Use of an Integrated Viewer of Multiple Electronic Health Records	30338474	Journal of General Internal Medicine
69	Electronic Personal Health Record Use Among Nurses in the Nursing Informatics Community	26061563	Computers, Informatics, Nursing
70	Medical Student Use of Electronic and Paper Health Records During Inpatient Clinical Clerkships: Results of a National Longitudinal Study	30365425	Academic Medicine
71	Exploring Electronic Medical Record and Self-Administered Medication Risk Screening Tools in a Primary Care Clinic	28448775	J Manag Care Spec Pharm
72	Association of an Electronic Health Record-Linked Glaucoma Medical Reminder With Patient Satisfaction	30543342	JAMA Ophthalmol
73	Integrating electronic healthcare records of armed forces personnel: Developing a framework for evaluating health outcomes in England, Scotland and Wales	29602429	International Journal of Medical Informatics
74	Biases in electronic health record data due to processes within the healthcare system: retrospective observational study	29712648	BMJ
75	Prevalence and Characterization of Yoga Mentions in the Electronic Health Record	31704747	Journal of the American Board of Family Medicine
76	Mapping communication spaces: The development and use of a tool for analyzing the impact of EHRs on interprofessional collaborative practice	27435942	International Journal of Medical Informatics
77	Electronic health records accurately predict renal replacement therapy in acute kidney injury	30704418	BMC Nephrology
78	Automated data mining of the electronic health record for investigation of healthcare-associated outbreaks	30773168	Infection Control and Hospital Epidemiology
79	Use of electronic medical records to describe general practitioner antibiotic prescribing patterns	31207679	Aust J Gen Pract
80	Association between meaningful use of electronic health records and patient health outcomes in schizophrenia: a retrospective database analysis	31318518	American Journal of Managed Care
81	Validation of a Sequential Organ Failure Assessment Score using Electronic Health Record Data	30218383	Journal of Medical Systems
82	Comprehensive methodology to monitor longitudinal change patterns during EHR implementations: a case study at a large health care delivery network	29857137	Journal of Biomedical Informatics
83	The Impact of Electronic Medical Record Implementation on Labor Cost and Productivity at an Outpatient Orthopaedic Clinic	30234619	Journal of Bone and Joint Surgery (American Volume)
84	Yield and bias in defining a cohort study baseline from electronic health record data	29305952	Journal of Biomedical Informatics
85	Electronic health records and outpatient cardiovascular disease care delivery: Insights from the American College of Cardiology's PINNACLE India Quality Improvement Program (PIQIP)	30392517	Indian Heart Journal
86	Use of an electronic medical record reminder improves HIV screening	29316919	BMC Health Services Research
87	Association Between Electronic Medical Record Implementation and Otolaryngologist Productivity in the Ambulatory Setting	27583577	JAMA Otolaryngol Head Neck Surg
88	USE OF ELECTRONIC HEALTH RECORDS TO CHARACTERIZE A RARE DISEASE IN THE U.S.: TREATMENT, COMORBIDITIES, AND FOLLOW-UP TRENDS AMONG PATIENTS WITH A CONFIRMED DIAGNOSIS OF ACROMEGALY	29624099	Endocrine Practice
89	Identifying surgical site infections in electronic health data using predictive models	29982511	Journal of the American Medical Informatics Association
90	Patient perspectives on use of electronic health records for research recruitment	30808279	BMC Medical Research Methodology
91	Improving data sharing between acute hospitals in England: an overview of health record system distribution and retrospective observational analysis of inter-hospital transitions of care	31806611	BMJ Open
92	Frailty Screening Using the Electronic Health Record Within a Medicare Accountable Care Organization	30668637	Journals of Gerontology Series A: Biological Sciences and Medical Sciences
93	Exploring the Association Between Electronic Health Record Use and Burnout Among Psychiatry Residents and Faculty: a Pilot Survey Study	29785625	Academic Psychiatry
94	Measuring Use of Evidence-Based Psychotherapy for PTSD in VA Residential Treatment Settings with Clinician Survey and Electronic Medical Record Templates	29547909	Military Medicine
95	Bridging the digital divide: mobile access to personal health records among patients with diabetes	29350505	American Journal of Managed Care
96	The experience and challenges of healthcare-reform-driven medical consortia and Regional Health Information Technologies in China: A longitudinal study	31513943	International Journal of Medical Informatics
97	Comparison of face-to-face interaction and the electronic medical record for venous thromboembolism risk stratification using the 2005 Caprini score	29452956	J Vasc Surg Venous Lymphat Disord
98	Genetic validation of bipolar disorder identified by automated phenotyping using electronic health records	29666432	Transl Psychiatry
99	Do general practitioners record alcohol abuse in the electronic medical records? A comparison of survey and medical record data	29301406	Current Medical Research and Opinion
100	Use of the Electronic Health Record to Target Patients for Non-endoscopic Barrett's Esophagus Screening	31273597	Digestive Diseases and Sciences
101	Feasibility Testing of Health Information Technology: Enabled Patient-Reported Outcome Measurement in the Home Health Setting	31274585	Home Healthc Now
102	Cross sectional study to assess the accuracy of electronic health record data to identify patients in need of lung cancer screening	29321038	BMC Research Notes
103	Landmark Models for Optimizing the Use of Repeated Measurements of Risk Factors in Electronic Health Records to Predict Future Disease Risk	29584812	American Journal of Epidemiology
104	Is Blockchain Technology Suitable for Managing Personal Health Records? Mixed-Methods Study to Test Feasibility	30735142	Journal of Medical Internet Research
105	Association of the Usability of Electronic Health Records With Cognitive Workload and Performance Levels Among Physicians	30951160	JAMA Netw Open
106	Discrepancies in diagnostic records of military service members with self-reported PTSD: Healthcare use and longitudinal symptom outcomes	30849678	General Hospital Psychiatry
107	Prediction of Incident Hypertension Within the Next Year: Prospective Study Using Statewide Electronic Health Records and Machine Learning	29382633	Journal of Medical Internet Research
108	Enhancing Privacy Controls for Patients via a Selective Authentic Electronic Health Record Exchange Service: Qualitative Study of Perspectives by Medical Professionals and Patients	30578189	Journal of Medical Internet Research
109	Medication class enrichment analysis: a novel algorithm to analyze multiple pharmacologic exposures simultaneously using electronic health record data	29378062	Journal of the American Medical Informatics Association
110	Exploring Factors Affecting Voluntary Adoption of Electronic Medical Records Among Physicians and Clinical Assistants of Small or Solo Private General Practice Clinics	29845400	Journal of Medical Systems
111	Prediction of the 1-Year Risk of Incident Lung Cancer: Prospective Study Using Electronic Health Records from the State of Maine	31099339	Journal of Medical Internet Research
112	Leveraging the Electronic Medical Record to Identify Predictors of Nonattendance to a Diabetes Self-Management Education and Support Program	31486339	Diabetes Educator
113	Electronic health records and the frequency of diagnostic test orders	28141935	American Journal of Managed Care
114	Using electronic health records to quantify and stratify the severity of type 2 diabetes in primary care in England: rationale and cohort study design	29961021	BMJ Open
115	Health Maintenance Documentation Improves for Veterans with IBD Using a Template in the Computerized Patient Record System	29736836	Digestive Diseases and Sciences
116	The geographic distribution of cardiovascular health in the stroke prevention in healthcare delivery environments (SPHERE) study	26828957	Journal of Biomedical Informatics
117	Community pharmacists' lack of access to health records and its impact on targeted MTM interventions	31203016	Journal of the American Pharmacists Association
118	Safety huddles to proactively identify and address electronic health record safety	28031286	Journal of the American Medical Informatics Association
119	Selection of patients with myelodysplastic syndromes from a large electronic medical records database and a study of the use of disease-modifying therapy in the United States	30037860	BMJ Open
120	Operating Room Delays: Meaningful Use in Electronic Health Record	27046388	Computers, Informatics, Nursing
121	Self-report versus electronic medical record recorded healthcare utilisation in older community-dwelling adults: Comparison of two prospective cohort studies	30365518	PloS One
122	Development and implementation of a dynamically updated big data intelligence platform from electronic health records for nasopharyngeal carcinoma research	31430186	British Journal of Radiology
123	Development and Validation of Machine Learning Models for Prediction of 1-Year Mortality Utilizing Electronic Medical Record Data Available at the End of Hospitalization in Multicondition Patients: a Proof-of-Concept Study	29383551	Journal of General Internal Medicine
124	Imported malaria in the UK, 2005 to 2016: Estimates from primary care electronic health records	30596782	PloS One
125	Exploring the Potential Routine Use of Electronic Healthcare Record Data to Strengthen Early Signal Assessment in UK Medicines Regulation: Proof-of-Concept Study	29725942	Drug Safety
126	Pain process of patients with cardiac surgery-Semantic annotation of electronic patient record data	30589139	Journal of Clinical Nursing
127	[Effectiveness of an assessment of computerised medical records in a university hospital]	29169963	Rev Calid Asist
128	Characteristics and treatment of African-American and European-American patients with resistant hypertension identified using the electronic health record in an academic health centre: a case-control study	29950471	BMJ Open
129	A Feasibility Study to Attribute Patients to Primary Interns on Inpatient Ward Teams Using Electronic Health Record Data	31460936	Academic Medicine
130	Continuance compliance of privacy policy of electronic medical records: the roles of both motivation and habit	30563500	BMC Medical Informatics and Decision Making
131	An exploratory study of the electronic medical record and outpatient vascular neurology consultations	29022132	Neurological Sciences
132	Portal of medical data models: information infrastructure for medical research and healthcare	26868052	Database: The Journal of Biological Databases and Curation
133	Machine learning models in electronic health records can outperform conventional survival models for predicting patient mortality in coronary artery disease	30169498	PloS One
134	Impact of different assumptions on estimates of childhood diseases obtained from health care data: A retrospective cohort study	29691919	Pharmacoepidemiology and Drug Safety
135	Pharmacist use of the electronic medical record to identify adults at risk for anaphylaxis without epinephrine for self-administration	28285065	Journal of the American Pharmacists Association
136	Usability problems do not heal by themselves: National survey on physicians' experiences with EHRs in Finland	27919385	International Journal of Medical Informatics
137	Creating a Synthetic Clinical Trial: Comparative Effectiveness Analyses Using an Electronic Medical Record	31225984	JCO Clin Cancer Inform
138	Rotavirus vaccine coverage and factors associated with uptake using linked data: Ontario, Canada	29444167	PloS One
139	Validation of electronic health record phenotyping of bipolar disorder cases and controls	25827034	American Journal of Psychiatry
140	Implementing electronic health records (EHRs): health care provider perceptions before and after transition from a local basic EHR to a commercial comprehensive EHR	29036503	Journal of the American Medical Informatics Association
141	Identifying musculoskeletal conditions in electronic medical records: a prevalence and validation study using the Deliver Primary Healthcare Information (DELPHI) database	31053119	BMC Musculoskeletal Disorders
142	Geographic surveillance of community associated MRSA infections in children using electronic health record data	30777016	BMC Infectious Diseases
143	Comorbidities in Childhood Celiac Disease: A Phenome Wide Association Study Using the Electronic Health Record	29746339	Journal of Pediatric Gastroenterology and Nutrition
144	Electronic Health Record Based Algorithm to Identify Patients with Autism Spectrum Disorder	27472449	PloS One
145	Identified mental disorders in older adults in primary care: A cross-sectional database study	29353511	Eur J Gen Pract
146	Surgical Outcomes and Quality Assessment of Trabeculectomy: Leveraging Electronic Health Records for Clinical Data Visualization	31658225	Journal of Glaucoma
147	Intimate partner violence and clinical coding: issues with the use of the International Classification of Disease (ICD-10) in England	30170502	Journal of Health Services Research and Policy
148	Street Connectivity and Obesity Risk: Evidence From Electronic Health Records	27989291	American Journal of Preventive Medicine
149	Validation of Veterans Affairs Electronic Medical Record Smoking Data Among Iraq- and Afghanistan-Era Veterans	28808856	Journal of General Internal Medicine
150	Do electronic health record prompts increase take-home naloxone administration for emergency department patients after an opioid overdose?	31013394	Addiction
151	Assessing Dental Information Requirements of Electronic Health Records of Zahedan Dental School	28679879	Studies in Health Technology and Informatics
152	A qualitative inquiry into implementing an electronic health record system (SmartCare) for prevention of mother-to-child transmission data in Zambia: a retrospective study	31494616	BMJ Open
153	High Throughput Phenotyping for Dimensional Psychopathology in Electronic Health Records	29496195	Biological Psychiatry
154	Constructing Large Scale Cohort for Clinical Study on Heart Failure with Electronic Health Record in Regional Healthcare Platform: Challenges and Strategies in Data Reuse	31315750	Chinese Medical Sciences Journal
155	Acupuncture and chiropractic care: utilization and electronic medical record capture	26295269	American Journal of Managed Care
156	Predictors of objectively measured physical activity in 12-month-old infants: A study of linked birth cohort data with electronic health records	30729733	Pediatric Obesity
157	Chronic obstructive pulmonary disease exacerbation episodes derived from electronic health record data validated using clinical trial data	31385428	Pharmacoepidemiology and Drug Safety
158	Mining and exploring care pathways from electronic medical records with visual analytics	26146159	Journal of Biomedical Informatics
159	Discovering Associations Among Older Adults' Characteristics and Planned Nursing Interventions Using Electronic Health Record Data	30796148	Research and Theory for Nursing Practice
160	Development and Validation of Electronic Quality Measures to Assess Care for Patients With Transient Ischemic Attack and Minor Ischemic Stroke	28912200	Circulation: Cardiovascular Quality and Outcomes
161	Effect of Electronic Health Record Implementation in Critical Care on Survival and Medication Errors	27238919	American Journal of the Medical Sciences
162	Learning to Identify Rare Disease Patients from Electronic Health Records	30815073	AMIA Annu Symp Proc
163	Workarounds and Test Results Follow-up in Electronic Health Record-Based Primary Care	27437060	Applied Clinical Informatics
164	Electronic health records and community health surveillance of childhood obesity	25599907	American Journal of Preventive Medicine
165	Contributing factors to adoption of electronic medical records in otolaryngology offices	23712468	Laryngoscope
166	An Electronic Health Record Order Entry-Enabled Educational Intervention Is Not Effective in Reducing STAT Inpatient Radiology Orders	31078428	J Am Coll Radiol
167	US hospital engagement in core domains of interoperability	27982673	American Journal of Managed Care
168	The Use of an Electronic Health Record Patient Portal to Access Diagnostic Test Results by Emergency Patients at an Academic Medical Center: Retrospective Study	31254335	Journal of Medical Internet Research
169	Identifying social factors amongst older individuals in linked electronic health records: An assessment in a population based study	29190680	PloS One
170	Health information exchange policies of 11 diverse health systems and the associated impact on volume of exchange	27301748	Journal of the American Medical Informatics Association
171	Changes in Veteran Tobacco Use Identified in Electronic Medical Records	28190690	American Journal of Preventive Medicine
172	Signal Detection for Recently Approved Products: Adapting and Evaluating Self-Controlled Case Series Method Using a US Claims and UK Electronic Medical Records Database	29327136	Drug Safety
173	Personalized diabetes management recommendations at hospital discharge based on a computerized, pre-hospitalization clinical profile analysis: A prospective, electronic health records-based study	31523844	International Journal of Health Planning and Management
174	The electronic health record audit file: the patient is waiting	27375293	Journal of the American Medical Informatics Association
175	Validation of a Delirium Risk Assessment Using Electronic Medical Record Information	26705000	Journal of the American Medical Directors Association
176	The Effect of Access to Electronic Health Records on Throughput Efficiency and Imaging Utilization in the Emergency Department	28376563	Health Services Research
177	Consumer Opinions of Health Information Exchange, e-Prescribing, and Personal Health Records	26604874	Perspect Health Inf Manag
178	Learning About Missing Data Mechanisms in Electronic Health Records-based Research: A Survey-based Approach	26484425	Epidemiology
179	An analysis of electronic health record-related patient safety concerns	24951796	Journal of the American Medical Informatics Association
180	Extracting information from free-text electronic patient records to identify practice-based evidence of the performance of coronary stents	28800599	PloS One
181	The use of electronic patient records for medical research: conflicts and contradictions	25886266	BMC Health Services Research
182	Assessing Information Congruence of Documented Cardiovascular Disease between Electronic Dental and Medical Records	30815189	AMIA Annu Symp Proc
183	Supplementing electronic health records through sample collection and patient diaries: A study set within a primary care research database	28924986	Pharmacoepidemiology and Drug Safety
184	Electronic health record-based detection of risk factors for Clostridium difficile infection relapse	23466915	Infection Control and Hospital Epidemiology
185	Perceived usefulness and perceived ease of use of electronic health records among nurses: Application of Technology Acceptance Model	28920708	Inform Health Soc Care
186	Performance of a Natural Language Processing Method to Extract Stone Composition From the Electronic Health Record	31310771	Urology
187	Information technology and hospital patient safety: a cross-sectional study of US acute care hospitals	25811818	American Journal of Managed Care
188	Coronary artery disease risk assessment from unstructured electronic health records using text mining	26319542	Journal of Biomedical Informatics
189	Effect of an Electronic Health Record Decision Support Alert to Decrease Excess Cervical Cancer Screening	31592972	Journal of Lower Genital Tract Disease
190	Development of a predictive model for drug-associated QT prolongation in the inpatient setting using electronic health record data	31185072	American Journal of Health-System Pharmacy
191	Utilizing patient geographic information system data to plan telemedicine service locations	28339932	Journal of the American Medical Informatics Association
192	Is electronic health record use associated with patient satisfaction in hospitals?	21918464	Health Care Management Review
193	Data quality in electronic medical records in Manitoba: Do problem lists reflect chronic disease as defined by prescriptions?	28500199	Canadian Family Physician
194	Personal health records and hypertension control: a randomized trial	22234404	Journal of the American Medical Informatics Association
195	A method for cohort selection of cardiovascular disease records from an electronic health record system	28495342	International Journal of Medical Informatics
196	Vascular surgery residents spend one fifth of their time on electronic health records after duty hours	31010521	Journal of Vascular Surgery
197	Real-Time Automated Sampling of Electronic Medical Records Predicts Hospital Mortality	27019043	American Journal of Medicine
198	Exploring the drug-induced anemia signals in children using electronic medical records	31315002	Expert Opinion on Drug Safety
199	Impact of electronic health records on the patient experience in a hospital setting	25052463	Journal of Hospital Medicine
200	Automating care quality measurement with health information technology	22774999	American Journal of Managed Care
201	A Tale of Two Eras: Mining Big Data from Electronic Health Records to Determine Limb Salvage Rates with Podiatry	30332970	Current Diabetes Reviews
202	Identification of Major Adverse Kidney Events Within the Electronic Health Record	27234478	Journal of Medical Systems
203	Development and validation of an automated delirium risk assessment system (Auto-DelRAS) implemented in the electronic health record system	29035732	International Journal of Nursing Studies
204	Impact of electronic personal health record use on engagement and intermediate health outcomes among cardiac patients: a quasi-experimental study	26912538	Journal of the American Medical Informatics Association
205	Predicting No-Shows in Radiology Using Regression Modeling of Data Available in the Electronic Medical Record	28673777	J Am Coll Radiol
206	Data quality of electronic medical records in Manitoba: do problem lists accurately reflect chronic disease billing diagnoses?	27107454	Journal of the American Medical Informatics Association
207	How context affects electronic health record-based test result follow-up: a mixed-methods evaluation	25387758	BMJ Open
208	An Integrated Influenza Surveillance Framework Based on National Influenza-Like Illness Incidence and Multiple Hospital Electronic Medical Records for Early Prediction of Influenza Epidemics: Design and Evaluation	30707099	Journal of Medical Internet Research
209	Electronic health record use, intensity of hospital care, and patient outcomes	24333204	American Journal of Medicine
210	Do GPs know their patients with cancer? Assessing the quality of cancer registration in Dutch primary care: a cross-sectional validation study	27633642	BMJ Open
211	Challenges with Collecting Smoking Status in Electronic Health Records	29854208	AMIA Annu Symp Proc
212	Electronic Health Records and Pharmacokinetic Modeling to Assess the Relationship between Ampicillin Exposure and Seizure Risk in Neonates	27522443	Journal of Pediatrics
213	Temporal phenotyping of medically complex children via PARAFAC2 tensor factorization	30743070	Journal of Biomedical Informatics
214	Use of electronic medical records differs by specialty and office settings	23538721	Journal of the American Medical Informatics Association
215	Use of electronic medical records for clinical research in the management of type 2 diabetes	24556384	Research in Social & Administrative Pharmacy
216	Challenges and Opportunities for Using Big Health Care Data to Advance Medical Science and Public Health	30877288	American Journal of Epidemiology
217	Personal electronic health records: understanding user requirements and needs in chronic cancer care	25998006	Journal of Medical Internet Research
218	Minimal impact of an electronic medical records system	25744149	American Journal of Emergency Medicine
219	Defining disease phenotypes using national linked electronic health records: a case study of atrial fibrillation	25369203	PloS One
220	Correlation of venous thromboembolism prophylaxis and electronic medical record alerts with incidence among surgical patients	27320067	Surgery
221	Automated analysis of electronic medical record data reflects the pathophysiology of operative complications	24074431	Surgery
222	Utilizing Home Healthcare Electronic Health Records for Telehomecare Patients With Heart Failure: A Decision Tree Approach to Detect Associations With Rehospitalizations	26848645	Computers, Informatics, Nursing
223	Electronic health record-based triggers to detect potential delays in cancer diagnosis	23873756	BMJ Qual Saf
224	Identifying High-Risk Neighborhoods Using Electronic Medical Records: A Population-Based Approach for Targeting Diabetes Prevention and Treatment Interventions	27463641	PloS One
225	Extraction and Prevalence of Structured Data Elements in Free-Text Clinical Trial Eligibility Criteria	30942751	Studies in Health Technology and Informatics
226	Technology alignment in the presence of regulatory changes: The case of meaningful use of information technology in healthcare	29331254	International Journal of Medical Informatics
227	Comparing clinician descriptions of frailty and geriatric syndromes using electronic health records: a retrospective cohort study	29070036	BMC Geriatrics
228	Where is the EHR in oncology?	22570289	Journal of the National Comprehensive Cancer Network
229	The effect of electronic medical record system use on communication between pharmacists and prescribers	26507839	BMC Family Practice
230	Monitoring suicidal patients in primary care using electronic health records	25567824	Journal of the American Board of Family Medicine
231	Using Random Forest Models to Identify Correlates of a Diabetic Peripheral Neuropathy Diagnosis from Electronic Health Record Data	27252307	Pain Medicine
232	Using an electronic medical record (EMR) to conduct clinical trials: Salford Lung Study feasibility	25880660	BMC Medical Informatics and Decision Making
233	Electronic Medical Record Documentation of Driving Safety for Veterans with Diagnosed Dementia	28459309	Clinical Gerontologist
234	Changing trends in postoperative cataract care: impact of electronic patient records in optometrist-delivered shared care	29063356	Irish Journal of Medical Science
235	Agreement and validity of electronic health record prescribing data relative to pharmacy claims data: A validation study from a US electronic health record database	28608510	Pharmacoepidemiology and Drug Safety
236	The combined effect of the electronic health record and hospitalist care on length of stay	26014309	American Journal of Managed Care
237	Maternity patients' access to their electronic medical records: use and perspectives of a patient portal	27092464	Health Information Management
238	Use of electronic medical record-enhanced checklist and electronic dashboard to decrease CLABSIs	24567021	Pediatrics
239	Patient crossover and potentially avoidable repeat computed tomography exams across a health information exchange	27178985	Journal of the American Medical Informatics Association
240	Prediction of Recurrent Clostridium Difficile Infection Using Comprehensive Electronic Medical Records in an Integrated Healthcare Delivery System	28835289	Infection Control and Hospital Epidemiology
241	Using electronic health records for surgical quality improvement in the era of big data	25372451	JAMA Surg
242	Method of electronic health record documentation and quality of primary care	22610494	Journal of the American Medical Informatics Association
243	Patient Use of Electronic Prescription Refill and Secure Messaging and Its Association With Undetectable HIV Viral Load: A Retrospective Cohort Study	28202428	Journal of Medical Internet Research
244	Utilizing IHE-based Electronic Health Record systems for secondary use	21431246	Methods of Information in Medicine
245	Adherence to Hydroxychloroquine Dosing Guidelines by Rheumatologists: An Electronic Medical Record-Based Study in an Integrated Health Care System	28153440	Ophthalmology
246	Evaluating performance of electronic healthcare records and spontaneous reporting data in drug safety signal detection	25488315	International Journal of Clinical Pharmacy
247	Surgery without a surrogate: the low prevalence of healthcare power of attorney documents among preoperative patients	30328723	Hosp Pract (1995)
248	Effect of an electronic medical record information system on emergency department performance	23451963	Medical Journal of Australia
