EndNote_ID,Pubmed_ID,Analytic_Method_Name,Real_World_Evidence,,Year,,,,
4603,28992868,statistic testing,0,2017,,,,,
2154,28181629,statistic testing,0,2017,,,,,
3187,28759474,statistic testing,0,2017,,,,,
4905,28319547,statistic testing,0,2017,,,,,
4905,28319547,Sensitivity analysis,Real-World Evidence,2017,,,,,
1959,28273396,statistic testing,0,2017,,,,,
1959,28273396,Multivariate Logistic Regression,0,2017,,,,,
2469,28196660,logistic Regression,0,2017,,,,,
2469,28196660,Post-hoc anaysis,0,2017,subgroup analysis,,,,
906,28248798,kaplan-Meier method,0,2017,,,,,
906,28248798,Cox proportional hazard models,0,2017,,,,,
5626,28727517,Intention-to-Treat Analysis,0,2017,,,,,
5626,28727517,kaplan-Meier method,0,2017,,,,,
5626,28727517,propensity Score,Real-World Evidence,2017,,,,,
2457,28807194,Multivariate Logistic Regression,0,2017,,,,,
2457,28807194,Statistic testing,0,2017,,,,,
5285,28951401,Generalized Estimating Equations,0,2017,,,,,
5285,28951401,Sensitivity analysis,Real-World Evidence,2017,,,,,
5285,28951401,interrupted time series analysis,0,2017,,,,,
4835,29157318,Multivariate linear regression ,0,2017,,,,,
1129,28017629,Multivariate Logistic Regression,0,2017,,,,,
1129,28017629,statistic testing,0,2017,,,,,
690,29040555,logistic Regression,0,2017,,,,,
690,29040555,propensity Score,Real-World Evidence,2017,,,,,
690,29040555,Confounding,Real-World Evidence,2017,,,,,
690,29040555,Instrumental Variable,Real-World Evidence,2017,,,,,
690,29040555,Sensitivity analysis,Real-World Evidence,2017,,,,,
2597,28762529,Cox proportional hazard models,0,2017,,,,,
3168,27492450,Cox proportional hazard models,0,2017,,,,,
3168,27492450,Sensitivity analysis,Real-World Evidence,2017,,,,,
4419,27056934,Multivariate linear regression ,0,2017,,,,,
4912,28029234,Cox proportional hazard models,0,2017,,,,,
4912,28029234,statistic testing,0,2017,,,,,
4912,28029234,Sensitivity analysis,Real-World Evidence,2017,,,,,
4290,28595292,Sensitivity analysis,Real-World Evidence,2017,,,,,
4290,28595292,Causal Inference,Real-World Evidence,2017,,,,,
2634,28489503,Multiple logistic regression,0,2017,,,,,
2634,28489503,Multivariate linear regression ,0,2017,,,,,
2634,28489503,Confounding,Real-World Evidence,2017,,,,,
2087,27377576,Cox proportional hazard models,0,2017,,,,,
2087,27377576,statistic testing,0,2017,,,,,
3531,28122760,Multivariate linear regression ,0,2017,,,,,
3531,28122760,Propensity Score,Real-World Evidence,2017,,,,,
3531,28122760,statistic testing,0,2017,,,,,
5068,29021267,Cox proportional hazard models,0,2017,,,,,
5068,29021267,kaplan-Meier method,0,2017,,,,,
5068,29021267,Sensitivity analysis,Real-World Evidence,2017,,,,,
2012,28495862,Hierarchic cluster analysis,0,2017,,,,,
2393,27534520,statistic testing,0,2017,,,,,
2393,27534520,Growth mixture modelling ,0,2017,,,,,
5300,28417028,statistic testing,0,2017,,,,,
2015,28279995,Multivariate linear regression ,0,2017,,,,,
2015,28279995,logistic Regression,0,2017,,,,,
2015,28279995,statistic testing,0,2017,,,,,
730,28490326,Cox proportional hazard models,0,2017,,,,,
730,28490326,kaplan-Meier method,0,2017,,,,,
730,28490326,logistic Regression,0,2017,,,,,
2198,28658199,Cox proportional hazard models,0,2017,,,,,
2198,28658199,Sensitivity analysis,Real-World Evidence,2017,,,,,
5567,29381975,logistic Regression,0,2017,,,,,
5567,29381975,statistic testing,0,2017,,,,,
5567,29381975,Confounding,Real-World Evidence,2017,,,,,
4517,27423366,logistic Regression,0,2016,,,,,
4517,27423366,statistic Testing,0,2016,,,,,
3687,25791153,multivariate Logistic Regression,0,2015,,,,,
3687,25791153,statistic Testing,0,2015,,,,,
4890,25079292,Logistic Regression,0,2015,,,,,
2993,27387135,statistic testing,0,2016,,,,,
422,24885103,descriptive statistics,0,2014,,,,,
5551,24972918,Intention-to-Treat Analysis,0,2014,,,,,
5551,24972918,statistic Testing,0,2014,,,,,
1905,27557876,statistic Testing,0,2016,,,,,
1905,27557876,Logistic Regression,0,2016,,,,,
1905,27557876,Sensitivity analysis,Real-World Evidence,2016,,,,,
5741,25352766,Cox proportional hazard models,0,2014,,,,,
5741,25352766,Logistic Regression,0,2014,,,,,
5741,25352766,Confounding,Real-World Evidence,2014,,,,,
4805,26948479,statistic Testing,0,2016,,,,,
2802,26126249,Cox proportional hazard models,0,2015,,,,,
2802,26126249,Confounding,Real-World Evidence,2015,,,,,
1506,26338196,Sensitivity analysis,Real-World Evidence,2015,,,,,
1506,26338196,logistic Regression,0,2015,,,,,
1506,26338196,statistic Testing,0,2015,,,,,
4052,26316350,logistic Regression,0,2015,,,,,
4052,26316350,statistic Testing,0,2015,,,,,
4052,26316350,descriptive statistics,0,2015,,,,,
3407,29066447,descriptive statistics,0,2017,,,,,
3407,29066447,statistic Testing,0,2017,,,,,
3425,30933911,statistic testing,0,2019,,,,,
3425,30933911,descriptive statistics,0,2019,,,,,
5497,30741444,statistic testing,0,2019,,,,,
5497,30741444,descriptive statistics,0,2019,,,,,
4729,30968545,statistic testing,0,2019,,,,,
4729,30968545,descriptive statistics,0,2019,,,,,
5661,31418803,Confounding,Real-World Evidence,2019,,,,,
5661,31418803,multivariable negative binomial regression,0,2019,,,,,
5661,31418803,Sensitivity analysis,Real-World Evidence,2019,,,,,
4960,31409405,Sensitivity analysis,Real-World Evidence,2019,,,,,
4960,31409405,descriptive statistics,0,2019,,,,,
3962,29953662,descriptive statistics,0,2019,,,,,
3962,29953662,statistic testing,0,2019,,,,,
3962,29953662,Multivariate linear regression ,0,2019,,,,,
2765,30595024,statistic testing,0,2019,,,,,
2765,30595024,descriptive statistics,0,2019,,,,,
4166,30078659,logistic Regression,0,2019,,,,,
4166,30078659,descriptive statistics,0,2019,,,,,
4166,30078659,statistic testing,0,2019,,,,,
3883,30600530,descriptive statistics,0,2019,,,,,
3883,30600530,Linear Regression,0,2019,,,,,
3883,30600530,Statistic testing,0,2019,,,,,
4355,31722101,Statistic testing,0,2019,,,,,
4355,31722101,logistic Regression,0,2019,,,,,
3438,30075972,Statistic testing,0,2018,,,,,
3438,30075972,descriptive statistics,0,2018,,,,,
3438,30075972,Confounding,Real-World Evidence,2018,,,,,
3438,30075972,Multiple logistic regression,0,2018,,,,,
3093,30395043,Poisson regression,0,2018,,,,,
3093,30395043,statistic testing,0,2018,,,,,
3093,30395043,descriptive statistics,0,2018,,,,,
4772,29729123,descriptive statistics,0,2018,,,,,
4772,29729123,statistic testing,0,2018,,,,,
4772,29729123,Linear Regression,0,2018,,,,,
4772,29729123,Subgroup Analysis ,0,2018,,,,,
5864,29627994,descriptive statistics,0,2018,,,,,
4065,29516393,statistic testing,0,2018,,,,,
4065,29516393,logistic Regression,0,2018,,,,,
4065,29516393,Linear Regression,0,2018,,,,,
4307,29504859,statistic testing,0,2018,,,,,
4307,29504859,descriptive statistics,0,2018,,,,,
4307,29504859,kaplan-Meier method,0,2018,,,,,
5371,30012446,statistic testing,0,2018,,,,,
5371,30012446,life-table analysis,0,2018,,,,,
915,29147805,logistic Regression,0,2018,,,,,
915,29147805,descriptive statistics,0,2018,,,,,
5505,29502187,statistic testing,0,2018,,,,,
5505,29502187,Cox proportional hazard models,0,2018,,,,,
691,29352592,statistic testing,0,2018,,,,,
691,29352592,logistic Regression,0,2018,,,,,
4940,29807717,logistic Regression,0,2018,,,,,
4940,29807717,descriptive statistics,0,2018,,,,,
2716,29669697,logistic Regression,0,2018,,,,,
2716,29669697,Cox proportional hazard models,0,2018,,,,,
2716,29669697,statistic testing,0,2018,,,,,
5069,28886989,statistic testing,0,2017,,,,,
5069,28886989,kaplan-Meier method,0,2017,,,,,
5833,28117221,Intention-to-Treat Analysis,0,2017,,,,,
5833,28117221,Subgroup Analysis ,0,2017,,,,,
5833,28117221,kaplan-Meier method,0,2017,,,,,
5833,28117221,Cox proportional hazard models,0,2017,,,,,
5833,28117221,logistic Regression,0,2017,,,,,
5833,28117221,Linear Regression,0,2017,,,,,
2758,28551054,Cox proportional hazard models,0,2017,,,,,
2758,28551054,statistic testing,0,2017,,,,,
2758,28551054,descriptive statistics,0,2017,,,,,
2758,28551054,Sensitivity analysis,Real-World Evidence,2017,,,,,
4873,28396932,statistic testing,0,2017,,,,,
4873,28396932,descriptive statistics,0,2017,,,,,
4873,28396932,multivariate Logistic Regression,0,2017,,,,,
1787,28433642,statistic testing,0,2017,,,,,
1787,28433642,C-statistics,0,2017,,,,,
1787,28433642,Decision Curve Analysis,0,2017,,,,,
4989,27575714,Sensitivity analysis,Real-World Evidence,2016,,,,,
4989,27575714,Cox proportional hazard models,0,2016,,,,,
4989,27575714,statistic Testing,0,2016,,,,,
4522,28032424,descriptive statistics,0,2016,,,,,
4522,28032424,Logistic Regression,0,2016,,,,,
4522,28032424,Sensitivity analysis,Real-World Evidence,2016,,,,,
1458,26846893,Sensitivity analysis,Real-World Evidence,2016,,,,,
1458,26846893,Logistic Regression,0,2016,,,,,
1458,26846893,Confounding,Real-World Evidence,2016,,,,,
5605,26113118,Linear Regression,0,2015,,,,,
5605,26113118,statistic Testing,0,2015,,,,,
4086,24685969,descriptive statistics,0,2014,,,,,
4086,24685969,Logistic Regression,0,2014,,,,,
4086,24685969,statistic Testing,0,2014,,,,,
1418,25918332,Logistic Regression,0,2015,,,,,
1418,25918332,statistic Testing,0,2015,,,,,
5362,27569948,statistic Testing,0,2016,,,,,
5362,27569948,descriptive statistics,0,2016,,,,,
928,27003550,Linear Regression,0,2016,,,,,
928,27003550,statistic Testing,0,2016,,,,,
2291,25523350,descriptive statistics,0,2014,,,,,
2291,25523350,Multivariate linear regression ,0,2014,,,,,
5246,23916153,descriptive statistics,0,2014,,,,,
5246,23916153,Poisson regression,0,2014,,,,,
5246,23916153,Sensitivity analysis,Real-World Evidence,2014,,,,,
4414,26928093,descriptive statistics,0,2016,,,,,
4414,26928093,statistic Testing,0,2016,,,,,
1572,26832387,descriptive statistics,0,2016,,,,,
1572,26832387,logistic Regression,0,2016,,,,,
5510,27548074,multivariable generalized linear mixed model,0,2016,,,,,
5510,27548074,descriptive statistics,0,2016,,,,,
3876,25322196,descriptive statistics,0,2015,,,,,
3876,25322196,Confounding,Real-World Evidence,2015,,,,,
3876,25322196,Sensitivity analysis,Real-World Evidence,2015,,,,,
3876,25322196,multivariate Logistic Regression,0,2015,,,,,
2778,25155409,descriptive statistics,0,2014,,,,,
2778,25155409,logistic Regression,0,2014,,,,,
3413,27555289,Confounding,Real-World Evidence,2016,,,,,
3413,27555289,Sensitivity analysis,Real-World Evidence,2016,,,,,
3413,27555289,Cox proportional hazard models,0,2016,,,,,
3413,27555289,descriptive statistics,0,2016,,,,,
3413,27555289,statistic testing,0,2016,,,,,
4526,25809093,descriptive statistics,0,2015,,,,,
4526,25809093,logistic Regression,0,2015,,,,,
4821,25742528,Linear Regression,0,2015,,,,,
4821,25742528,descriptive statistics,0,2015,,,,,
4821,25742528,Confounding,Real-World Evidence,2015,,,,,
4821,25742528,Sensitivity analysis,Real-World Evidence,2015,,,,,
4821,25742528,Statistic testing,0,2015,,,,,
4294,27178429,Statistic testing,0,2016,,,,,
4294,27178429,Linear Regression,0,2016,,,,,
3591,25933397,Confounding,Real-World Evidence,2015,,,,,
3591,25933397,Linear Regression,0,2015,,,,,
3591,25933397,Statistic testing,0,2015,,,,,
1812,26823179,descriptive statistics,0,2016,,,,,
1812,26823179,Cox proportional hazard models,0,2016,,,,,
1812,26823179,Sensitivity analysis,Real-World Evidence,2016,,,,,
1812,26823179,Poisson regression,0,2016,,,,,
1812,26823179,statistic testing,0,2016,,,,,
804,24222835,Sensitivity analysis,Real-World Evidence,2013,,,,,
804,24222835,descriptive statistics,0,2013,,,,,
804,24222835,Poisson regression,0,2013,,,,,
804,24222835,logistic Regression,0,2013,,,,,
3043,22278427,Cox proportional hazard models,0,2012,,,,,
3043,22278427,Multivariate linear regression ,0,2012,,,,,
3043,22278427,statistic testing,0,2012,,,,,
5017,22007937,logistic Regression,0,2011,,,,,
5017,22007937,descriptive statistics,0,2011,,,,,
3743,22904260,descriptive statistics,0,2013,,,,,
3743,22904260,Cox proportional hazard models,0,2013,,,,,
901,21071962,Cox proportional hazard models,0,2011,,,,,
901,21071962,kaplan-Meier method,0,2011,,,,,
4328,23343758,logistic Regression,0,2013,,,,,
4328,23343758,descriptive statistics,0,2013,,,,,
4328,23343758,kaplan-Meier method,0,2013,,,,,
5219,20395074,Latent Class Analysis ,0,2010,,,,,
5219,20395074,descriptive statistics,0,2010,,,,,
5219,20395074,statistic testing,0,2010,,,,,
4385,30119100,descriptive statistics,0,2019,,,,,
4385,30119100,statistic testing,0,2019,,,,,
2148,22937877,Generalized Estimating Equations,0,2012,,,,,
2148,22937877,logistic Regression,0,2012,,,,,
2148,22937877,Linear Regression,0,2012,,,,,
2148,22937877,statistic testing,0,2012,,,,,
3087,23690514,recursive partitioning (RP) model,0,2013,,,,,
3087,23690514,logistic Regression,0,2013,,,,,
3087,23690514,descriptive statistics,0,2013,,,,,
5792,23238659,logistic Regression,0,2013,,,,,
5792,23238659,descriptive statistics,0,2013,,,,,
5792,23238659,statistic testing,0,2013,,,,,
3428,23829420,Logistic Regression,0,2013,,,,,
3428,23829420,Confounding,Real-World Evidence,2013,,,,,
3428,23829420,Linear Regression,0,2013,,,,,
4917,22871081,Logistic Regression,0,2012,,,,,
4917,22871081,statistic testing,0,2012,,,,,
5805,23756616,statistic testing,0,2013,,,,,
5805,23756616,Generalized Estimating Equations,0,2013,,,,,
5805,23756616,Linear Regression,0,2013,,,,,
5805,23756616,Confounding,Real-World Evidence,2013,,,,,
3587,22484068,Logistic Regression,0,2013,,,,,
3587,22484068,kaplan-Meier method,0,2013,,,,,
3587,22484068,statistic Testing,0,2013,,,,,
4342,21801091,Logistic Regression,0,2011,,,,,
4342,21801091,kaplan-Meier method,0,2011,,,,,
4342,21801091,statistic Testing,0,2011,,,,,
5790,23165956,Logistic Regression,0,2013,,,,,
5790,23165956,descriptive statistics,0,2013,,,,,
,,,,,,,,,
