ID,Name,ISSN
1,"	N Engl J Med","	0028-4793"
80,"	Am J Manag Care","	1088-0224"
81,"	J Med Syst","	0148-5598"
82,"	J Biomed Inform","	1532-0464"
83,"	J Bone Joint Surg Am","	0021-9355"
84,"	J Biomed Inform","	1532-0464"
85,"	Indian Heart J","	0019-4832"
86,"	BMC Health Serv Res","	1472-6963"
87,"	JAMA Otolaryngol Head Neck Surg","	2168-6181"
88,"	Endocr Pract","	1530-891X"
89,"	J Am Med Inform Assoc","	1067-5027"
90,"	BMC Med Res Methodol","	1471-2288"
91,"	BMJ Open","	2044-6055"
92,"	J Gerontol A Biol Sci Med Sci","	1079-5006"
93,"	Acad Psychiatry","	1042-9670"
94,"	Mil Med","	0026-4075"
95,"	Am J Manag Care","	1088-0224"
96,"	Int J Med Inform","	1386-5056"
97,"	J Vasc Surg Venous Lymphat Disord","	"
98,"	Transl Psychiatry","	2158-3188"
99,"	Curr Med Res Opin","	0300-7995"
100,"	Dig Dis Sci","	0163-2116"
101,"	Home Healthc Now","	2374-4529"
102,"	BMC Res Notes","	1756-0500"
103,"	Am J Epidemiol","	0002-9262"
104,"	J Med Internet Res","	1439-4456"
105,"	JAMA Netw Open","	2574-3805"
106,"	Gen Hosp Psychiatry","	0163-8343"
107,"	J Med Internet Res","	1439-4456"
108,"	J Med Internet Res","	1439-4456"
109,"	J Am Med Inform Assoc","	1067-5027"
110,"	J Med Syst","	0148-5598"
111,"	J Med Internet Res","	1439-4456"
112,"	Diabetes Educ","	0145-7217"
113,"	Am J Manag Care","	1088-0224"
114,"	BMJ Open","	2044-6055"
115,"	Dig Dis Sci","	0163-2116"
116,"	J Biomed Inform","	1532-0464"
117,"	J Am Pharm Assoc (2003)","	1086-5802"
118,"	J Am Med Inform Assoc","	1067-5027"
119,"	BMJ Open","	2044-6055"
120,"	Comput Inform Nurs","	1538-2931"
121,"	PLoS One","	1932-6203"
122,"	Br J Radiol","	0007-1285"
123,"	J Gen Intern Med","	0884-8734"
124,"	PLoS One","	1932-6203"
125,"	Drug Saf","	0114-5916"
126,"	J Clin Nurs","	0962-1067"
127,"	Rev Calid Asist","	1134-282x"
128,"	BMJ Open","	2044-6055"
129,"	Acad Med","	1040-2446"
130,"	BMC Med Inform Decis Mak","	1472-6947"
131,"	Neurol Sci","	1590-1874"
132,"	Database (Oxford)","	1758-0463"
133,"	PLoS One","	1932-6203"
134,"	Pharmacoepidemiol Drug Saf","	1053-8569"
135,"	J Am Pharm Assoc (2003)","	1086-5802"
136,"	Int J Med Inform","	1386-5056"
137,"	JCO Clin Cancer Inform","	2473-4276"
138,"	PLoS One","	1932-6203"
139,"	Am J Psychiatry","	0002-953X"
140,"	J Am Med Inform Assoc","	1067-5027"
141,"	BMC Musculoskelet Disord","	1471-2474"
142,"	BMC Infect Dis","	1471-2334"
143,"	J Pediatr Gastroenterol Nutr","	0277-2116"
144,"	PLoS One","	1932-6203"
145,"	Eur J Gen Pract","	1381-4788"
146,"	J Glaucoma","	1057-0829"
147,"	J Health Serv Res Policy","	1355-8196"
148,"	Am J Prev Med","	0749-3797"
149,"	J Gen Intern Med","	0884-8734"
150,"	Addiction","	0965-2140"
151,"	Stud Health Technol Inform","	0926-9630"
152,"	BMJ Open","	2044-6055"
153,"	Biol Psychiatry","	0006-3223"
154,"	Chin Med Sci J","	1001-9294"
155,"	Am J Manag Care","	1088-0224"
156,"	Pediatr Obes","	2047-6302"
157,"	Pharmacoepidemiol Drug Saf","	1053-8569"
158,"	J Biomed Inform","	1532-0464"
159,"	Res Theory Nurs Pract","	1541-6577"
160,"	Circ Cardiovasc Qual Outcomes","	1941-7713"
161,"	Am J Med Sci","	0002-9629"
162,"	AMIA Annu Symp Proc","	1559-4076"
163,"	Appl Clin Inform","	1869-0327"
164,"	Am J Prev Med","	0749-3797"
165,"	Laryngoscope","	0023-852x"
166,"	J Am Coll Radiol","	1546-1440"
167,"	Am J Manag Care","	1088-0224"
168,"	J Med Internet Res","	1439-4456"
169,"	PLoS One","	1932-6203"
170,"	J Am Med Inform Assoc","	1067-5027"
171,"	Am J Prev Med","	0749-3797"
172,"	Drug Saf","	0114-5916"
173,"	Int J Health Plann Manage","	0749-6753"
174,"	J Am Med Inform Assoc","	1067-5027"
175,"	J Am Med Dir Assoc","	1525-8610"
176,"	Health Serv Res","	0017-9124"
177,"	Perspect Health Inf Manag","	1559-4122"
178,"	Epidemiology","	1044-3983"
179,"	J Am Med Inform Assoc","	1067-5027"
180,"	PLoS One","	1932-6203"
181,"	BMC Health Serv Res","	1472-6963"
182,"	AMIA Annu Symp Proc","	1559-4076"
183,"	Pharmacoepidemiol Drug Saf","	1053-8569"
184,"	Infect Control Hosp Epidemiol","	0899-823x"
185,"	Inform Health Soc Care","	1753-8157"
186,"	Urology","	0090-4295"
187,"	Am J Manag Care","	1088-0224"
188,"	J Biomed Inform","	1532-0464"
189,"	J Low Genit Tract Dis","	1089-2591"
190,"	Am J Health Syst Pharm","	1079-2082"
191,"	J Am Med Inform Assoc","	1067-5027"
192,"	Health Care Manage Rev","	0361-6274"
193,"	Can Fam Physician","	0008-350X"
194,"	J Am Med Inform Assoc","	1067-5027"
195,"	Int J Med Inform","	1386-5056"
196,"	J Vasc Surg","	0741-5214"
197,"	Am J Med","	0002-9343"
198,"	Expert Opin Drug Saf","	1474-0338"
199,"	J Hosp Med","	1553-5592"
200,"	Am J Manag Care","	1088-0224"
201,"	Curr Diabetes Rev","	1573-3998"
202,"	J Med Syst","	0148-5598"
203,"	Int J Nurs Stud","	0020-7489"
204,"	J Am Med Inform Assoc","	1067-5027"
205,"	J Am Coll Radiol","	1546-1440"
206,"	J Am Med Inform Assoc","	1067-5027"
207,"	BMJ Open","	2044-6055"
208,"	J Med Internet Res","	1439-4456"
209,"	Am J Med","	0002-9343"
210,"	BMJ Open","	2044-6055"
211,"	AMIA Annu Symp Proc","	1559-4076"
212,"	J Pediatr","	0022-3476"
213,"	J Biomed Inform","	1532-0464"
214,"	J Am Med Inform Assoc","	1067-5027"
215,"	Res Social Adm Pharm","	1551-7411"
216,"	Am J Epidemiol","	0002-9262"
217,"	J Med Internet Res","	1439-4456"
218,"	Am J Emerg Med","	0735-6757"
219,"	PLoS One","	1932-6203"
220,"	Surgery","	0039-6060"
221,"	Surgery","	0039-6060"
222,"	Comput Inform Nurs","	1538-2931"
223,"	BMJ Qual Saf","	2044-5415"
224,"	PLoS One","	1932-6203"
225,"	Stud Health Technol Inform","	0926-9630"
226,"	Int J Med Inform","	1386-5056"
227,"	BMC Geriatr","	1471-2318"
228,"	J Natl Compr Canc Netw","	1540-1405"
229,"	BMC Fam Pract","	1471-2296"
230,"	J Am Board Fam Med","	1557-2625"
231,"	Pain Med","	1526-2375"
232,"	BMC Med Inform Decis Mak","	1472-6947"
233,"	Clin Gerontol","	0731-7115"
234,"	Ir J Med Sci","	0021-1265"
235,"	Pharmacoepidemiol Drug Saf","	1053-8569"
236,"	Am J Manag Care","	1088-0224"
237,"	Health Inf Manag","	1833-3583"
238,"	Pediatrics","	0031-4005"
239,"	J Am Med Inform Assoc","	1067-5027"
240,"	Infect Control Hosp Epidemiol","	0899-823X"
241,"	JAMA Surg","	2168-6254"
242,"	J Am Med Inform Assoc","	1067-5027"
243,"	J Med Internet Res","	1439-4456"
244,"	Methods Inf Med","	0026-1270"
245,"	Ophthalmology","	0161-6420"
246,"	Int J Clin Pharm","	"
247,"	Hosp Pract (1995)","	2154-8331"
248,"	Med J Aust","	0025-729x"
249,"	Acad Emerg Med","	1069-6563"
250,"	Pediatrics","	0031-4005"
251,"	Int J Med Inform","	1386-5056"
252,"	J Med Syst","	0148-5598"
253,"	Eur J Cancer Care (Engl)","	0961-5423"
254,"	Sports Health","	1941-7381"
255,"	BMJ Open","	2044-6055"
256,"	Perm J","	1552-5767"
257,"	Radiology","	0033-8419"
258,"	J Med Internet Res","	1439-4456"
259,"	Nutr Clin Pract","	0884-5336"
260,"	J Am Med Inform Assoc","	1067-5027"
261,"	Jt Comm J Qual Patient Saf","	1553-7250"
262,"	Subst Abus","	0889-7077"
263,"	Med Care","	0025-7079"
264,"	Ann Fam Med","	1544-1709"
265,"	Annu Int Conf IEEE Eng Med Biol Soc","	2375-7477"
266,"	J Hosp Med","	1553-5592"
267,"	J Am Board Fam Med","	1557-2625"
268,"	J Pediatr","	0022-3476"
269,"	Pediatr Crit Care Med","	1529-7535"
270,"	Am J Psychiatry","	0002-953x"
271,"	J Innov Health Inform","	2058-4555"
272,"	Am J Manag Care","	1088-0224"
273,"	Pharmacoepidemiol Drug Saf","	1053-8569"
274,"	Pain Res Manag","	1203-6765"
275,"	Appl Clin Inform","	1869-0327"
276,"	BMC Med Inform Decis Mak","	1472-6947"
277,"	J Clin Nurs","	0962-1067"
278,"	PLoS One","	1932-6203"
279,"	Genet Med","	1098-3600"
280,"	Contemp Clin Trials","	1551-7144"
281,"	BMJ Open","	2044-6055"
282,"	BMC Psychiatry","	1471-244x"
283,"	Pediatrics","	0031-4005"
284,"	Respir Care","	0020-1324"
285,"	Appl Clin Inform","	1869-0327"
286,"	Am J Manag Care","	1088-0224"
287,"	Am J Manag Care","	1088-0224"
288,"	J Diabetes Investig","	2040-1116"
289,"	Trials","	1745-6215"
290,"	Fam Med","	0742-3225"
291,"	J Eval Clin Pract","	1356-1294"
292,"	J Am Med Inform Assoc","	1067-5027"
293,"	J Am Med Inform Assoc","	1067-5027"
294,"	Patient Educ Couns","	0738-3991"
295,"	Alzheimers Dement","	1552-5260"
296,"	J Allergy Clin Immunol Pract","	2213-2198"
297,"	Jt Comm J Qual Patient Saf","	1553-7250"
298,"	J Popul Ther Clin Pharmacol","	2561-8741"
299,"	J Manag Care Spec Pharm","	"
300,"	J Med Internet Res","	1439-4456"
301,"	Can Fam Physician","	0008-350X"
302,"	Clin Pediatr (Phila)","	0009-9228"
303,"	Clin Pediatr (Phila)","	0009-9228"
304,"	BMC Med Inform Decis Mak","	1472-6947"
305,"	Inflamm Bowel Dis","	1078-0998"
306,"	Can Fam Physician","	0008-350X"
307,"	Genet Epidemiol","	0741-0395"
308,"	Diabetes Care","	0149-5992"
309,"	BMC Med Inform Decis Mak","	1472-6947"
310,"	Jama","	0098-7484"
311,"	Support Care Cancer","	0941-4355"
312,"	Infect Control Hosp Epidemiol","	0899-823X"
313,"	Stud Health Technol Inform","	0926-9630"
314,"	J Am Med Inform Assoc","	1067-5027"
315,"	Arch Intern Med","	0003-9926"
316,"	J Pediatr","	0022-3476"
317,"	J Prim Care Community Health","	2150-1319"
318,"	J Eval Clin Pract","	1356-1294"
319,"	Ann Fam Med","	1544-1709"
320,"	Congenit Heart Dis","	1747-079x"
321,"	Health Care Manage Rev","	0361-6274"
322,"	Arch Intern Med","	0003-9926"
323,"	Pediatr Crit Care Med","	1529-7535"
324,"	Inform Prim Care","	1476-0320"
325,"	Telemed J E Health","	1530-5627"
326,"	Ann Intern Med","	0003-4819"
327,"	J Gen Intern Med","	0884-8734"
328,"	Soc Sci Med","	0277-9536"
329,"	Am J Manag Care","	1088-0224"
330,"	Jama","	0098-7484"
331,"	J Med Internet Res","	1439-4456"
332,"	Biometrics","	0006-341X"
333,"	Ann Rheum Dis","	0003-4967"
334,"	J Biomed Inform","	1532-0464"
335,"	J Diabetes Sci Technol","	1932-2968"
336,"	J Am Med Inform Assoc","	1067-5027"
337,"	Med Care","	0025-7079"
338,"	J Med Syst","	0148-5598"
339,"	J Med Internet Res","	1439-4456"
340,"	PLoS One","	1932-6203"
341,"	Jt Comm J Qual Patient Saf","	1553-7250"
342,"	AMIA Annu Symp Proc","	1559-4076"
343,"	Am J Ther","	1075-2765"
344,"	Am J Manag Care","	1088-0224"
345,"	Inquiry","	0046-9580"
346,"	World J Surg","	0364-2313"
347,"	J Intensive Care Med","	0885-0666"
348,"	J Am Med Inform Assoc","	1067-5027"
349,"	BMC Med Inform Decis Mak","	1472-6947"
350,"	BMC Fam Pract","	1471-2296"
351,"	N C Med J","	0029-2559"
352,"	Dig Dis Sci","	0163-2116"
353,"	Patient Educ Couns","	0738-3991"
354,"	Appl Clin Inform","	1869-0327"
355,"	J Palliat Med","	1096-6218"
356,"	Health Serv Res","	0017-9124"
357,"	J Health Care Finance","	1078-6767"
358,"	Prev Med","	0091-7435"
359,"	BMJ Qual Saf","	2044-5415"
360,"	Appl Clin Inform","	1869-0327"
361,"	Headache","	0017-8748"
362,"	J Innov Health Inform","	2058-4555"
363,"	BMC Ophthalmol","	1471-2415"
364,"	J Neurol","	0340-5354"
365,"	Acad Med","	1040-2446"
366,"	Pharmacoepidemiol Drug Saf","	1053-8569"
367,"	Acad Emerg Med","	1069-6563"
368,"	Health Inf Manag","	1833-3583"
369,"	J Am Board Fam Med","	1557-2625"
370,"	Inform Prim Care","	1476-0320"
371,"	Am J Med Qual","	1062-8606"
372,"	Nurse Educ Pract","	1471-5953"
373,"	J Hypertens","	0263-6352"
374,"	Clin Trials","	1740-7745"
375,"	Am J Manag Care","	1088-0224"
376,"	Stud Health Technol Inform","	0926-9630"
377,"	J Comp Eff Res","	2042-6305"
378,"	BMJ Open","	2044-6055"
379,"	Pharmacoepidemiol Drug Saf","	1053-8569"
380,"	Prev Chronic Dis","	1545-1151"
381,"	Ann Allergy Asthma Immunol","	1081-1206"
382,"	Ann Am Thorac Soc","	2325-6621"
383,"	J Am Med Inform Assoc","	1067-5027"
384,"	Bmj","	0959-8138"
385,"	Comput Inform Nurs","	1538-2931"
386,"	Am J Manag Care","	1088-0224"
387,"	Perspect Health Inf Manag","	1559-4122"
388,"	Ann Fam Med","	1544-1709"
389,"	Int J Med Inform","	1386-5056"
390,"	PLoS Comput Biol","	1553-734X"
391,"	Contemp Clin Trials","	1551-7144"
392,"	Health Serv Res","	0017-9124"
393,"	Med Educ","	0308-0110"
394,"	J Card Fail","	1071-9164"
395,"	Health Serv Res","	0017-9124"
396,"	J Diabetes Sci Technol","	1932-2968"
397,"	Health Informatics J","	1460-4582"
398,"	Epidemiol Infect","	0950-2688"
399,"	Health Serv Res","	0017-9124"
400,"	Cancer","	0008-543X"
401,"	Gastric Cancer","	1436-3291"
402,"	Med Care","	0025-7079"
403,"	BMC Infect Dis","	1471-2334"
404,"	Anaesthesia","	0003-2409"
405,"	Circ Cardiovasc Qual Outcomes","	1941-7713"
406,"	J Am Med Inform Assoc","	1067-5027"
407,"	PLoS One","	1932-6203"
408,"	J Biomed Inform","	1532-0464"
409,"	Int J Med Inform","	1386-5056"
410,"	Am J Manag Care","	1088-0224"
411,"	Curr Med Res Opin","	0300-7995"
412,"	J Womens Health (Larchmt)","	1540-9996"
413,"	BMJ Open","	2044-6055"
414,"	Clin Gastroenterol Hepatol","	1542-3565"
415,"	Int J Hyg Environ Health","	1438-4639"
416,"	J Am Med Inform Assoc","	1067-5027"
417,"	Am J Manag Care","	1088-0224"
418,"	J Gen Intern Med","	0884-8734"
419,"	Acad Emerg Med","	1069-6563"
420,"	Int J Med Inform","	1386-5056"
421,"	BMC Public Health","	1471-2458"
422,"	BMC Pregnancy Childbirth","	1471-2393"
423,"	J Eval Clin Pract","	1356-1294"
424,"	J Med Internet Res","	1438-8871"
425,"	J Diabetes Sci Technol","	1932-2968"
426,"	Res Nurs Health","	0160-6891"
427,"	J Am Med Inform Assoc","	1067-5027"
428,"	J Biomed Inform","	1532-0464"
429,"	BMC Cancer","	1471-2407"
430,"	J Hosp Med","	1553-5592"
431,"	Yearb Med Inform","	0943-4747"
432,"	Pharmacoepidemiol Drug Saf","	1053-8569"
433,"	Med Care","	0025-7079"
434,"	Pac Symp Biocomput","	2335-6928"
435,"	J Vasc Interv Radiol","	1051-0443"
436,"	Appl Clin Inform","	1869-0327"
437,"	J Pain","	1526-5900"
438,"	BMC Med Genomics","	1755-8794"
439,"	Respir Care","	0020-1324"
440,"	Am J Manag Care","	1088-0224"
441,"	Diabetes Care","	0149-5992"
442,"	BMC Med Inform Decis Mak","	1472-6947"
443,"	BMJ Open","	2044-6055"
444,"	Cardiol Young","	1047-9511"
445,"	J Am Med Inform Assoc","	1067-5027"
446,"	Inform Prim Care","	1476-0320"
447,"	J Am Med Inform Assoc","	1067-5027"
448,"	Diabetes Care","	0149-5992"
449,"	J Eval Clin Pract","	1356-1294"
450,"	Ann Plast Surg","	0148-7043"
451,"	Stud Health Technol Inform","	0926-9630"
452,"	Psychiatry Res","	0165-1781"
453,"	J Am Med Inform Assoc","	1067-5027"
454,"	Trials","	1745-6215"
455,"	Swiss Med Wkly","	0036-7672"
456,"	Med Care Res Rev","	1077-5587"
457,"	J Palliat Med","	1557-7740"
458,"	Stat Med","	0277-6715"
459,"	J Am Med Inform Assoc","	1067-5027"
460,"	Mil Med","	0026-4075"
461,"	BMC Med Res Methodol","	1471-2288"
462,"	Clin Chem Lab Med","	1434-6621"
463,"	Pharmacoepidemiol Drug Saf","	1053-8569"
464,"	PLoS One","	1932-6203"
465,"	Am J Hum Genet","	0002-9297"
466,"	Pharmacoepidemiol Drug Saf","	1053-8569"
467,"	Circ Cardiovasc Genet","	1942-325X"
468,"	Am J Prev Med","	0749-3797"
469,"	AJR Am J Roentgenol","	0361-803x"
470,"	Health Serv Res","	0017-9124"
471,"	Surgeon","	1479-666X"
472,"	IEEE Trans Inf Technol Biomed","	1089-7771"
473,"	Drug Saf","	0114-5916"
474,"	J Clin Nurs","	0962-1067"
475,"	J Crit Care","	0883-9441"
476,"	Heart Rhythm","	1547-5271"
477,"	Am J Med","	0002-9343"
478,"	Health Informatics J","	1460-4582"
479,"	J Am Med Inform Assoc","	1067-5027"
480,"	J Antimicrob Chemother","	0305-7453"
481,"	Clin Ther","	0149-2918"
482,"	J Biomed Inform","	1532-0464"
483,"	Inform Prim Care","	1476-0320"
484,"	Ir Med J","	0332-3102"
485,"	Health Care Manag Sci","	1386-9620"
486,"	Clin Nurs Res","	1054-7738"
487,"	Psychiatr Serv","	1075-2730"
488,"	Appl Clin Inform","	1869-0327"
489,"	J Am Med Inform Assoc","	1067-5027"
490,"	Pac Symp Biocomput","	2335-6928"
491,"	Pac Symp Biocomput","	2335-6936"
492,"	J Eval Clin Pract","	1356-1294"
493,"	Sex Transm Infect","	1368-4973"
494,"	Pediatr Emerg Care","	0749-5161"
495,"	Stud Health Technol Inform","	0926-9630"
496,"	PLoS One","	1932-6203"
497,"	Infect Control Hosp Epidemiol","	0899-823X"
498,"	Rev Calid Asist","	1134-282x"
499,"	J Eval Clin Pract","	1356-1294"
500,"	J Am Acad Dermatol","	0190-9622"
501,"	BMC Med Res Methodol","	1471-2288"
502,"	Crit Care Med","	0090-3493"
503,"	Gesundheitswesen","	0941-3790"
504,"	Popul Health Manag","	1942-7891"
505,"	Int J Environ Res Public Health","	1661-7827"
506,"	Perspect Health Inf Manag","	1559-4122"
507,"	Fam Syst Health","	1091-7527"
508,"	BMC Health Serv Res","	1472-6963"
509,"	J Acquir Immune Defic Syndr","	1525-4135"
510,"	BMJ Open","	2044-6055"
511,"	Res Nurs Health","	0160-6891"
512,"	Int J Med Inform","	1386-5056"
513,"	Int J Med Inform","	1386-5056"
514,"	Pediatr Obes","	2047-6302"
515,"	J Diabetes","	1753-0393"
516,"	J Am Med Inform Assoc","	1067-5027"
517,"	J Pediatr","	0022-3476"
518,"	J Biomed Inform","	1532-0464"
519,"	J Pain Symptom Manage","	0885-3924"
520,"	Am J Emerg Med","	0735-6757"
521,"	Drug Saf","	0114-5916"
522,"	Pharmacoepidemiol Drug Saf","	1053-8569"
523,"	BMC Anesthesiol","	1471-2253"
524,"	Am J Surg","	0002-9610"
525,"	Horm Res Paediatr","	1663-2818"
526,"	J Am Med Inform Assoc","	1067-5027"
527,"	Diabetes Care","	0149-5992"
528,"	Ophthalmology","	0161-6420"
529,"	Jt Comm J Qual Patient Saf","	1553-7250"
530,"	J Pharm Pract","	0897-1900"
531,"	Maturitas","	0378-5122"
532,"	J Arthroplasty","	0883-5403"
533,"	Pharmacoepidemiol Drug Saf","	1053-8569"
534,"	Stud Health Technol Inform","	0926-9630"
535,"	Am J Manag Care","	1088-0224"
536,"	Epilepsy Behav","	1525-5050"
537,"	BMC Cancer","	1471-2407"
538,"	Pharmacoepidemiol Drug Saf","	1053-8569"
539,"	J Am Med Inform Assoc","	1067-5027"
540,"	Prev Vet Med","	0167-5877"
541,"	Birth Defects Res","	"
542,"	Am J Emerg Med","	0735-6757"
543,"	Radiology","	0033-8419"
544,"	Int J Med Inform","	1386-5056"
545,"	Cancer","	0008-543x"
546,"	Prev Vet Med","	0167-5877"
547,"	Ann Emerg Med","	0196-0644"
548,"	Pharmacotherapy","	0277-0008"
549,"	BMJ Open","	2044-6055"
550,"	Methods Inf Med","	0026-1270"
551,"	Health Informatics J","	1460-4582"
552,"	Rheumatology (Oxford)","	1462-0324"
553,"	Clin Interv Aging","	1176-9092"
554,"	BMJ Open","	2044-6055"
555,"	Cardiovasc Diabetol","	1475-2840"
556,"	Age Ageing","	0002-0729"
557,"	J Telemed Telecare","	1357-633X"
558,"	Matern Child Health J","	1092-7875"
559,"	Am J Manag Care","	1088-0224"
560,"	JMIR Mhealth Uhealth","	2291-5222"
561,"	Stat Med","	0277-6715"
562,"	Diabetes Care","	0149-5992"
563,"	Am J Perinatol","	0735-1631"
564,"	J Thromb Thrombolysis","	0929-5305"
565,"	Pharmacoepidemiol Drug Saf","	1053-8569"
566,"	BMC Med Inform Decis Mak","	1472-6947"
567,"	Pediatr Pulmonol","	1099-0496"
568,"	ANZ J Surg","	1445-1433"
569,"	J Biomed Inform","	1532-0464"
570,"	Genome Med","	1756-994x"
571,"	Health Serv Res","	0017-9124"
572,"	Pharmacoepidemiol Drug Saf","	1053-8569"
573,"	J Hosp Med","	1553-5592"
574,"	BMJ Open","	2044-6055"
575,"	J Am Pharm Assoc (2003)","	1086-5802"
576,"	Popul Health Manag","	1942-7891"
577,"	Aust Health Rev","	0156-5788"
578,"	BMJ Open","	2044-6055"
579,"	Br J Gen Pract","	0960-1643"
580,"	BMC Infect Dis","	1471-2334"
581,"	J Vasc Surg","	0741-5214"
582,"	Diabetes Metab Syndr","	1871-4021"
583,"	Br J Gen Pract","	0960-1643"
584,"	BMC Health Serv Res","	1472-6963"
585,"	Am J Prev Med","	0749-3797"
586,"	J Am Med Inform Assoc","	1067-5027"
587,"	Sci Rep","	2045-2322"
588,"	Cancer Med","	2045-7634"
589,"	Trials","	1745-6215"
590,"	Mayo Clin Proc","	0025-6196"
591,"	Implement Sci","	1748-5908"
592,"	Acad Emerg Med","	1069-6563"
593,"	J Pediatr Endocrinol Metab","	0334-018x"
594,"	PLoS One","	1932-6203"
595,"	Vaccine","	0264-410x"
596,"	Drug Saf","	0114-5916"
597,"	Acad Emerg Med","	1069-6563"
598,"	Appl Clin Inform","	1869-0327"
599,"	Br J Gen Pract","	0960-1643"
600,"	Nephrol Dial Transplant","	0931-0509"
601,"	Can Fam Physician","	0008-350X"
602,"	J Am Board Fam Med","	1557-2625"
603,"	Curr Med Res Opin","	0300-7995"
604,"	BMJ Qual Saf","	2044-5415"
605,"	Ophthalmic Physiol Opt","	0275-5408"
606,"	Int J Med Inform","	1386-5056"
607,"	JAMA Netw Open","	2574-3805"
608,"	J Biomed Semantics","	"
609,"	Eur J Gen Pract","	1381-4788"
610,"	JAMA Netw Open","	2574-3805"
611,"	AMIA Annu Symp Proc","	1559-4076"
612,"	J Trauma Acute Care Surg","	2163-0755"
613,"	Thromb Haemost","	0340-6245"
614,"	PLoS One","	1932-6203"
615,"	Int J Gynecol Cancer","	1048-891X"
616,"	J Am Med Inform Assoc","	1067-5027"
617,"	Dig Dis Sci","	0163-2116"
618,"	Respir Med","	0954-6111"
619,"	J Gen Intern Med","	0884-8734"
620,"	Pharmacoepidemiol Drug Saf","	1053-8569"
621,"	Curr Med Res Opin","	0300-7995"
622,"	Consult Pharm","	0888-5109"
623,"	Matern Child Health J","	1092-7875"
624,"	BMJ Open","	2044-6055"
625,"	Appl Clin Inform","	1869-0327"
626,"	Value Health","	1098-3015"
627,"	BMC Med Inform Decis Mak","	1472-6947"
628,"	BMC Med Inform Decis Mak","	1472-6947"
629,"	Int J Med Inform","	1386-5056"
630,"	Health Informatics J","	1460-4582"
631,"	J Nurs Adm","	0002-0443"
